State,Total Medicaid Enrollees,Total Medicaid Enrollment in Any Type of Managed Care,Medicaid Enrollment in Comprehensive Managed Care,Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs,Year,combined
Arkansas6,1026621.0,512041.0,167.0,0.0,2016,"State: Arkansas6, Year: 2016, Total Medicaid Enrollees: 1026621.0, Medicaid Enrollment in Managed Care: 512041.0, Medicaid Enrollment in Comprehensive Managed Care: 167.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
District of Columbia,251791.0,180942.0,180942.0,63350.0,2016,"State: District of Columbia, Year: 2016, Total Medicaid Enrollees: 251791.0, Medicaid Enrollment in Managed Care: 180942.0, Medicaid Enrollment in Comprehensive Managed Care: 180942.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 63350.0"
Wyoming,64442.0,391.0,112.0,0.0,2016,"State: Wyoming, Year: 2016, Total Medicaid Enrollees: 64442.0, Medicaid Enrollment in Managed Care: 391.0, Medicaid Enrollment in Comprehensive Managed Care: 112.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Pennsylvania,2753618.0,2521421.0,2233115.0,701225.0,2016,"State: Pennsylvania, Year: 2016, Total Medicaid Enrollees: 2753618.0, Medicaid Enrollment in Managed Care: 2521421.0, Medicaid Enrollment in Comprehensive Managed Care: 2233115.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 701225.0"
Massachusetts,1889306.0,1268120.0,874367.0,289891.0,2016,"State: Massachusetts, Year: 2016, Total Medicaid Enrollees: 1889306.0, Medicaid Enrollment in Managed Care: 1268120.0, Medicaid Enrollment in Comprehensive Managed Care: 874367.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 289891.0"
North Dakota,93422.0,48621.0,21347.0,21232.0,2016,"State: North Dakota, Year: 2016, Total Medicaid Enrollees: 93422.0, Medicaid Enrollment in Managed Care: 48621.0, Medicaid Enrollment in Comprehensive Managed Care: 21347.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 21232.0"
Michigan,4448582.0,4370138.0,2220029.0,484937.0,2016,"State: Michigan, Year: 2016, Total Medicaid Enrollees: 4448582.0, Medicaid Enrollment in Managed Care: 4370138.0, Medicaid Enrollment in Comprehensive Managed Care: 2220029.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 484937.0"
Virginia,1111999.0,761019.0,761019.0,0.0,2016,"State: Virginia, Year: 2016, Total Medicaid Enrollees: 1111999.0, Medicaid Enrollment in Managed Care: 761019.0, Medicaid Enrollment in Comprehensive Managed Care: 761019.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Hawaii,358302.0,354289.0,354289.0,113737.0,2016,"State: Hawaii, Year: 2016, Total Medicaid Enrollees: 358302.0, Medicaid Enrollment in Managed Care: 354289.0, Medicaid Enrollment in Comprehensive Managed Care: 354289.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 113737.0"
Kentucky,1361722.0,1284134.0,1262610.0,457746.0,2016,"State: Kentucky, Year: 2016, Total Medicaid Enrollees: 1361722.0, Medicaid Enrollment in Managed Care: 1284134.0, Medicaid Enrollment in Comprehensive Managed Care: 1262610.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 457746.0"
South Dakota,125395.0,94295.0,0.0,0.0,2016,"State: South Dakota, Year: 2016, Total Medicaid Enrollees: 125395.0, Medicaid Enrollment in Managed Care: 94295.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Montana,207340.0,121277.0,0.0,0.0,2016,"State: Montana, Year: 2016, Total Medicaid Enrollees: 207340.0, Medicaid Enrollment in Managed Care: 121277.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Alabama,1037037.0,664687.0,175.0,0.0,2016,"State: Alabama, Year: 2016, Total Medicaid Enrollees: 1037037.0, Medicaid Enrollment in Managed Care: 664687.0, Medicaid Enrollment in Comprehensive Managed Care: 175.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
California,13739388.0,10574784.0,10571742.0,3022256.0,2016,"State: California, Year: 2016, Total Medicaid Enrollees: 13739388.0, Medicaid Enrollment in Managed Care: 10574784.0, Medicaid Enrollment in Comprehensive Managed Care: 10571742.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 3022256.0"
Missouri,982776.0,961682.0,494392.0,0.0,2016,"State: Missouri, Year: 2016, Total Medicaid Enrollees: 982776.0, Medicaid Enrollment in Managed Care: 961682.0, Medicaid Enrollment in Comprehensive Managed Care: 494392.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
